ID,Shape,Text,Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
SYS,Predefined process,"SYS - Installation systeme (PostgreSQL - Odoo - Nginx...)","Tier 0 - Systeme",CT,CL,DS,CR,VT,CP,AH,ST,MR,RP,FL,PS,PR,SI,EC,EV,EL,JW,RH,PN,CG,ND,RC,CM,PJ,TD,MT,SN,CN,LC,EM,SM,CK,RY,ILL1,ILL2,ILL3,,,
CT,Process,"Contacts","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Process,"Calendrier","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,Process,"Discuss","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,Process,"CRM","Tier 1 - Modules",ILL1,ILL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,Process,"Vente","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,Process,"Comptabilite","Tier 1 - Modules",ILL1,ILL2,ILL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AH,Process,"Achat","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST,Process,"Stock","Tier 1 - Modules",ILL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR,Process,"MRP (fabrication)","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP,Process,"Reparation (SAV)","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Process,"Flotte vehicules","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS,Process,"Point de vente","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Process,"POS Restaurant","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI,Process,"Site web","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,Process,"eCommerce","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV,Process,"Evenements","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL,Process,"eLearning","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW,Process,"Offres d'emploi web","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH,Process,"RH (fiches employes)","Tier 1 - Modules",ILL1,ILL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PN,Process,"Presences","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Process,"Conges","Tier 1 - Modules",ILL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,Process,"Notes de frais","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC,Process,"Recrutement","Tier 1 - Modules",ILL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,Process,"Competences","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJ,Process,"Projets","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD,Process,"Todo","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,Process,"Maintenance","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Process,"Sondages","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,Process,"Cantine","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,Process,"Live chat","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,Process,"Email marketing","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,Process,"SMS marketing","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CK,Process,"Cartes marketing","Tier 1 - Modules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY,Process,"Recyclage donnees","Tier 1 - Modules",SYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILL1,Process,"Illustration - CLIM AUTO","Tier 2 - Illustration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILL2,Process,"Illustration - COUL","Tier 2 - Illustration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILL3,Process,"Illustration - PAIN & GLACE","Tier 2 - Illustration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
